POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M070027,Manhattan,1,07,75,WEST END AVENUE,10023,"75 WEST END AVENUE, New York, NY 10023",01171,0063,West End Towers,Full blockfronts on west side of West End Avenue between West 61st and 63rd Streets,1993,,,,Completed,Residential,,,Public Open Spaces,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Public Open Spaces,Brodsky Organization,"Buck/Cane, Schuman Lichtenstein Claman Efron",Quennell Rothschild Associates,Public Open Spaces 51497.00 sf,Restricted Hours,"Public Open Spaces: Restricted Hours (7:00 am to 1:00 am, or such other hours as nearby city-owned Riverside Park may hereafter be open to the public)",,"7:00 am to 1:00 am, or such other hours as nearby city-owned Riverside Park may hereafter be open to the public",,"Lighting; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Public Open Spaces: Lighting; Public Open Spaces: Other Required (overlook, boulders, a play area to include some of the following play equipment that are similar to Timberform ""Pipeline"" #9514, including wide slide chute with pipe rails, tire swing, arch ladder, bridgeway, and water run); Public Open Spaces: Planting (lawn, groundcover, low shrubs); Public Open Spaces: Plaque/Sign (4); Public Open Spaces: Seating (28 benches); Public Open Spaces: Trees on Street (25); Public Open Spaces: Trees within Space (73 major, 13 minor)",,,,,,,,,Yes,,"lawn, groundcover, low shrubs",4,,,,28 benches,,,25,"73 major, 13 minor",,"overlook, boulders, a play area to include some of the following play equipment that are similar to Timberform ""Pipeline"" #9514, including wide slide chute with pipe rails, tire swing, arch ladder, bridgeway, and water run",,,,,"Full/Partial",40.773792,-73.989403 ,0987185,0221190
M080001,Manhattan,1,08,118,EAST 60 STREET,10022,"118 EAST 60 STREET, New York, NY 10022",01394,0007,Plaza Tower,South side of East 60th Street between Lexington and Park Avenues,1965,33,,"110/61",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Samuel Paul & Seymour Jarmul,Samuel Paul & Seymour Jarmul,Plaza 6276.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.762812,-73.968648 ,0992935,0217191
M080002,Manhattan,1,08,167,EAST 61 STREET,10065,"167 EAST 61 STREET, New York, NY 10065",01396,0033,Trump Plaza,Full blockfront of west side of Third Avenue between East 61st and 62nd Streets,1983,39,,"58/81",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Donald J. Trump,"Frank Williams/Philip Birnbaum",Thomas Balsley,Residential Plaza 7319.54 sf,Restricted Hours,"Residential Plaza: Restricted Hours (Primary Space: 8:00 am to 8:00 pm or dark, whichever is later)",,"Primary Space: 8:00 am to 8:00 pm or dark, whichever is later",,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature","Residential Plaza: Bicycle Parking (Primary Space: 8 spaces); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles; Residential Plaza: Planting (Primary Space: 630 sf required, 1,275 sf provided; Visual Residual: 2,600 sf); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (Primary Space: 140.72 linear feet including 14.07 lf with backs required, 153.5 lf including 67.5 lf with backs provided); Residential Plaza: Trees on Street (12); Residential Plaza: Trees within Space (Primary Space: 6 required, 10 provided; Visual Residual: 8); Residential Plaza: Water Feature (Primary Space: 300 sf required, 400 sf fountain provided)",,,Primary Space: 8 spaces,,Primary Space: 1,,,,Yes,Yes,"Primary Space: 630 sf required, 1,275 sf provided; Visual Residual: 2,600 sf",Yes,,,,"Primary Space: 140.72 linear feet including 14.07 lf with backs required, 153.5 lf including 67.5 lf with backs provided",,,12,"Primary Space: 6 required, 10 provided; Visual Residual: 8","Primary Space: 300 sf required, 400 sf fountain provided",,,,,,"Full/Partial",40.763253,-73.965768 ,0993733,0217352
M080003,Manhattan,1,08,980,FIFTH AVENUE,10075,"980 FIFTH AVENUE, New York, NY 10075",01491,0001,,Northeast corner of Fifth Avenue and East 79th Street,1967,27,,,Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Paul Resnick & Harry F. Green,Paul Resnick & Harry F. Green,Plaza 2879.50 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.777041,-73.963201 ,0994442,0222376
M080004,Manhattan,1,08,188,EAST 64 STREET,10065,"188 EAST 64 STREET, New York, NY 10065",01398,7501,Royale,Full blockfront on west side of Third Avenue between East 63rd and 64th Streets,1987,42,,"111/84",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,"Schuman, Lichtenstein, Claman, Efron",Quennell Rothschild Associates,Residential Plaza 6667.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (Primary Space: 8 spaces); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (2 cubic feet); Residential Plaza: Planting (Primary Space: 600 sf required, 730 sf provided; Visual Residual Space: 701.25 sf); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (Primary Space: 134 linear feet including 13.4 lf with backs required, 139 lf provided; Usable Residual Space: 54 linear feet including 5.4 lf with backs required, 50 lf of fixed seating and 1 four-foot movable bench provided); Residential Plaza: Trees on Street (9); Residential Plaza: Trees within Space (Primary Space: 6; Usable Residual Space: 2)",,,Primary Space: 8 spaces,,Primary Space: 1,,,,Yes,2 cubic feet,"Primary Space: 600 sf required, 730 sf provided; Visual Residual Space: 701.25 sf",Yes,,,,"Primary Space: 134 linear feet including 13.4 lf with backs required, 139 lf provided; Usable Residual Space: 54 linear feet including 5.4 lf with backs required, 50 lf of fixed seating and 1 four-foot movable bench provided",,,9,Primary Space: 6; Usable Residual Space: 2,,,,,,,"Full/Partial",40.764499,-73.964843 ,0993989,0217806
M080005,Manhattan,1,08,160,EAST 65 STREET,10065,"160 EAST 65 STREET, New York, NY 10065",01399,0033,Phoenix,Full blcokfront on west side of Third Avenue between East 64th and 65th Streets,1969,31,,"81/65",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Plaza 6814.74 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.765124,-73.964391 ,0994114,0218034
M080006,Manhattan,1,08,733,PARK AVENUE,10021,"733 PARK AVENUE, New York, NY 10021",01405,0072,,Southeast corner of Park Avenue and East 71st Street,1970,30,,"178/69",Completed,"Co-op/Condo; Residential",,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,733 Park Ave. Co.,Kahn and Jacobs with Harry F. Green,Kahn and Jacobs with Harry F. Green,Arcade 2070.57 sf; Plaza 1760.39 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.770092,-73.964136 ,0994184,0219844
M080008,Manhattan,1,08,200,EAST 61 STREET,10065,"200 EAST 61 STREET, New York, NY 10065",01415,7501,Savoy,Full blockfront on east side of Third Avenue between East 60th and 61st Streets,1985,43,,"15/83",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Philip Birnbaum,Thomas Balsley Associates,Residential Plaza 5190.76 sf,Restricted Hours,"Residential Plaza: Restricted Hours (Primary Space: 8:00 am to 8:00 pm or dark, whichever is later)",,"Primary Space: 8:00 am to 8:00 pm or dark, whichever is later",,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (Primary Space: 7 spaces required, 8 provided); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (10 cubic feet); Residential Plaza: Planting (Primary Space: 504.5 sf required, 651 sf provided; Usable Residual Space: 253.95 sf required, 645.6 sf provided; Visual Residual Space: 94 sf required, 105 sf provided); Residential Plaza: Plaque/Sign (2); Residential Plaza: Seating (Primary Space: 112 linear feet including 11.2 lf with backs required, 132 lf and 15 lf movable seating with backs provided; Usable Residual Space: 56.44 linear feet including 5.6 lf with backs required, 86 lf including 43 lf with backs provided); Residential Plaza: Trees on Street (16); Residential Plaza: Trees within Space (Primary Space: 6)",,,"Primary Space: 7 spaces required, 8 provided",,Primary Space: 1,,,,Yes,10 cubic feet,"Primary Space: 504.5 sf required, 651 sf provided; Usable Residual Space: 253.95 sf required, 645.6 sf provided; Visual Residual Space: 94 sf required, 105 sf provided",2,,,,"Primary Space: 112 linear feet including 11.2 lf with backs required, 132 lf and 15 lf movable seating with backs provided; Usable Residual Space: 56.44 linear feet including 5.6 lf with backs required, 86 lf including 43 lf with backs provided",,,16,Primary Space: 6,,,,,,,"Full/Partial",40.762366,-73.965591 ,0993782,0217029
M080009,Manhattan,1,08,200,EAST 62 STREET,10065,"200 EAST 62 STREET, New York, NY 10065",01416,7501,Wellington Estates,Full blockfront on east side of Third Avenue between East 61st and 62nd Streets,1966,29,,"99/64",Completed,Residential,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,200 East Realty Corporation,Harry F. Green,Harry F. Green,Arcade 504.00 sf; Plaza 6250.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.763016,-73.965078 ,0993924,0217266
M080010,Manhattan,1,08,200,EAST 64 STREET,10065,"200 EAST 64 STREET, New York, NY 10065",01418,0045,Carlton Towers,Southeast corner of Third Avenue and East 64th Street,1969,31,,"91/67",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Philip Birnbaum,Abel Bainnson and Associates,Plaza 4604.00 sf,Restricted Hours,Plaza: Restricted Hours (elevated portion of Plaza: 6:00 am to midnight),,elevated portion of Plaza: 6:00 am to midnight,,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating","Plaza: Lighting; Plaza: Litter Receptacles; Plaza: Planting (arbor and extensive landscaping in elevated portion of Plaza); Plaza: Plaque/Sign; Plaza: Seating (15 benches totaling 90 linear feet including 22 lf with backs in elevated portion of Plaza)",,,,,,,,,Yes,Yes,arbor and extensive landscaping in elevated portion of Plaza,Yes,,,,15 benches totaling 90 linear feet including 22 lf with backs in elevated portion of Plaza,,,,,,,,,,,None,40.764339,-73.964081 ,0994200,0217748
M080011,Manhattan,1,08,220,EAST 65 STREET,10065,"220 EAST 65 STREET, New York, NY 10065",01419,7503,Concorde,South side of East 65th Street between Second and Third Avenues,1979,25,,"1/78",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Philip Birnbaum,Philip Birnbaum,Plaza 1325.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.764440,-73.962659 ,0994594,0217785
M080012,Manhattan,1,08,200,EAST 65 STREET,10065,"200 EAST 65 STREET, New York, NY 10065",01419,7502,Bristol,Full blockfront on east side of Third Avenue between East 64th and 65th Streets,1987,50,,"49/80",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,"Ulrich Franzen & Associates/Philip Birnbaum & Associates","Ulrich Franzen & Associates/Philip Birnbaum & Associates; Thomas Balsley Associates",Residential Plaza 8368.50 sf,Restricted Hours,"Residential Plaza: Restricted Hours (8:00 am to 8:00 pm or dark, whichever is later)",,"8:00 am to 8:00 pm or dark, whichever is later",,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (12 spaces required, 14 spaces provided); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (12 cubic feet); Residential Plaza: Planting (945 sf required, 952 sf provided); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (211 linear feet including 21.1 lf with backs required, 212 lf provided); Residential Plaza: Trees on Street (18); Residential Plaza: Trees within Space (6 required, 7 provided)",,,"12 spaces required, 14 spaces provided",,1,,,,Yes,12 cubic feet,"945 sf required, 952 sf provided",Yes,,,,"211 linear feet including 21.1 lf with backs required, 212 lf provided",,,18,"6 required, 7 provided",,,,,,,"Full/Partial",40.764775,-73.963557 ,0994345,0217907
M080013,Manhattan,1,08,265,EAST 66 STREET,10065,"265 EAST 66 STREET, New York, NY 10065",01421,0021,,Full blockfront on west side of Second Avenue between East 66th and 67th Streets,1975,46,,"13/69",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Second Avenue Solow Development Corp.,Gruzen & Partners,Gruzen & Partners,Plaza 7531.17 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,None,40.765480,-73.961174 ,0995005,0218164
M080014,Manhattan,1,08,254,EAST 68 STREET,10065,"254 EAST 68 STREET, New York, NY 10065",01422,0021,,Full blockfront on west side of Second Avenue between East 67th and 68th Streets,1973,31,,"93/66",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,Emery Roth & Sons,Plaza 8153.10 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.766067,-73.960813 ,0995105,0218378
M080015,Manhattan,1,08,205,EAST 95 STREET,10128,"205 EAST 95 STREET, New York, NY 10128",01541,0001,Normandie Court,East side of Third Avenue between East 95th and 96th Streets,1985,38,,,Completed,Residential,,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Milstein Properties,"Abraham D. Levitt Associates/The Vilkas Group","Abraham D. Levitt Associates/The Vilkas Group",Residential Plaza 8743.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (18 spaces); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles; Residential Plaza: Planting (1,305 sf); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (291 linear feet including 29.1 lf with backs); Residential Plaza: Trees on Street (13); Residential Plaza: Trees within Space (13)",,,18 spaces,,1,,,,Yes,Yes,"1,305 sf",Yes,,,,291 linear feet including 29.1 lf with backs,,,13,13,,,,,,,"Full/Partial",40.784680,-73.949240 ,0998307,0225161
M080016,Manhattan,1,08,220,EAST 72 STREET,10021,"220 EAST 72 STREET, New York, NY 10021",01426,0035,,South side of East 72nd Street between Second and Third Avenues,1974,27,,"29/72",Completed,Community Facility; Residential,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Evans & Delehanty,Evans & Delehanty,Plaza 1740.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.768894,-73.959721 ,0995407,0219408
M080019,Manhattan,1,08,300,EAST 62 STREET,10065,"300 EAST 62 STREET, New York, NY 10065",01436,7501,Paladin,Southeast corner of Second Avenue and East 62nd Street,1985,31,,"25/84",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,"Empire Realty Group, Inc.",Liebman Liebman Associates,Liebman Liebman Associates,Residential Plaza 3143.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Artwork (sculpture); Residential Plaza: Bicycle Parking (6 spaces); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (6 cubic feet); Residential Plaza: Planting (471 sf required, 1,190 sf provided); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (39.29 linear feet including 3.92 lf with backs required, 45.5 lf of planter wall and 22.5 lf of wood bench provided); Residential Plaza: Trees on Street (9); Residential Plaza: Trees within Space (3)",,sculpture,6 spaces,,,,,,Yes,6 cubic feet,"471 sf required, 1,190 sf provided",Yes,,,,"39.29 linear feet including 3.92 lf with backs required, 45.5 lf of planter wall and 22.5 lf of wood bench provided",,,9,3,,,,,,,"Full/Partial",40.762203,-73.962790 ,0994558,0216970
M080021,Manhattan,1,08,304,EAST 65 STREET,10065,"304 EAST 65 STREET, New York, NY 10065",01439,7501,Rio,Southeast corner of Second Avenue and East 65th Street,1987,39,,"31/85",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Vector Real Estate Group,The Gruzen Partnership,Thomas Balsley Associates; Langan (2018 Redesign),Residential Plaza 4054.00 sf,Restricted Hours,"Residential Plaza: Restricted Hours (8:00 am to 8:00 pm or dark, whichever is later)",,"8:00 am to 8:00 pm or dark, whichever is later",,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature","Residential Plaza: Bicycle Parking (5 spaces); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (3); Residential Plaza: Planting (1255 SF total of planters); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (117.26 LF of seating); Residential Plaza: Trees on Street (3); Residential Plaza: Trees within Space (5); Residential Plaza: Water Feature",,,5 spaces,,1,,,,Yes,3,1255 SF total of planters,Yes,,,,117.26 LF of seating,,,3,5,Yes,,,,,,"Full/Partial",40.763940,-73.961457 ,0994927,0217603
M080022,Manhattan,1,08,353,EAST 72 STREET,10021,"353 EAST 72 STREET, New York, NY 10021",01447,0019,Fontaine,North side of East 72nd Street between First and Second Avenues,1975,35,,"22/73",Completed,"Co-op/Condo; Residential",,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Max Wechsler,Max Wechsler,Arcade 786.00 sf; Plaza 2411.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.768300,-73.956462 ,0996310,0219192
M080023,Manhattan,1,08,300,EAST 74 STREET,10021,"300 EAST 74 STREET, New York, NY 10021",01448,0003,,Southeast corner of Second Avenue and East 74th Street,1967,37,,"3/66",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,H.I. Feldman,"H.I. Feldman; Devon Architects, P.C. (for alteration in 2005)",Plaza 5960.00 sf,Restricted Hours,"Plaza: Restricted Hours (8:00 am to 8:00 pm or dusk, whichever is later)",,"8:00 am to 8:00 pm or dusk, whichever is later",,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Seating,"Plaza: Bicycle Parking (1 bike rack); Plaza: Drinking Fountain (1); Plaza: Lighting; Plaza: Litter Receptacles (2); Plaza: Planting (including ivy providing mandatory screening of northwestern area adjacent to the Plaza that is used for storage of recyclables); Plaza: Seating (six 4' benches with backs, seven 4' benches with backs)",,,1 bike rack,,1,,,,Yes,2,including ivy providing mandatory screening of northwestern area adjacent to the Plaza that is used for storage of recyclables,,,,,"six 4' benches with backs, seven 4' benches with backs",,,,,,,,,,,"Full/Partial",40.769708,-73.957403 ,0996049,0219705
M080025,Manhattan,1,08,300,EAST 75 STREET,10021,"300 EAST 75 STREET, New York, NY 10021",01449,0003,Fairmont,Southeast corner of Second Avenue and East 75th Street,1979,32,,"79/69",Completed,Residential,,,Arcade; Landscaped Park; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Landscaped Park,Arwin East 74th Street Co.,Philip Birnbaum,Philip Birnbaum,Arcade 1560.00 sf; Landscaped Park 0.00 sf; Plaza 8556.48 sf,24 Hours; Restricted Hours,Arcade: 24 Hours; Landscaped Park: Restricted Hours (open during daylight hours); Plaza: 24 Hours,Yes,open during daylight hours,,Artwork; Planting; Seating; Water Feature,Landscaped Park: Planting; Landscaped Park: Seating (seating area); Plaza: Artwork (sculptures in planting areas at East 75th Street); Plaza: Planting; Plaza: Seating (4 six-foot benches on Second Avenue); Plaza: Water Feature (fountain at East 75th Street),,sculptures in planting areas at East 75th Street,,,,,,,,,Yes,,,,,seating area; 4 six-foot benches on Second Avenue,,,,,fountain at East 75th Street,,,,,,"Full/Partial",40.770262,-73.956691 ,0996246,0219907
M080027,Manhattan,1,08,400,EAST 70 STREET,10021,"400 EAST 70 STREET, New York, NY 10021",01464,7501,Kingsley,Southeast corner of First Avenue and East 70th Street,1983,40,,"40/81",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Stephen B. Jacobs & Associates,Quennell Rothschild Associates,Residential Plaza 4739.00 sf,Restricted Hours,"Residential Plaza: Restricted Hours (Primary Space: 8:00 am to 8:00 pm or dark, whichever is later)",,"Primary Space: 8:00 am to 8:00 pm or dark, whichever is later",,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Artwork (Usable Residual Space: wall mural on north wall of adjoining building at 1290 First Avenue); Residential Plaza: Bicycle Parking (Primary Space: 6 spaces); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (3 cubic feet); Residential Plaza: Planting (Primary Space: 450 sf required, 649 sf provided; Visual Residual Space: 808 sf); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (Primary Space: 95 linear feet including 9.5 lf with backs required, 95 lf provided; Usable Residual Space: 25 linear feet including 2.5 lf with backs required, 25 lf provided); Residential Plaza: Trees on Street (15); Residential Plaza: Trees within Space (Primary Space: 5; Visual Residual Space: 5)",,Usable Residual Space: wall mural on north wall of adjoining building at 1290 First Avenue,Primary Space: 6 spaces,,Primary Space: 1,,,,Yes,3 cubic feet,"Primary Space: 450 sf required, 649 sf provided; Visual Residual Space: 808 sf",Yes,,,,"Primary Space: 95 linear feet including 9.5 lf with backs required, 95 lf provided; Usable Residual Space: 25 linear feet including 2.5 lf with backs required, 25 lf provided",,,15,Primary Space: 5; Visual Residual Space: 5,,,,,,,"Full/Partial",40.766140,-73.956792 ,0996219,0218405
M080029,Manhattan,1,08,400,EAST 71 STREET,10021,"400 EAST 71 STREET, New York, NY 10021",01465,0001,Windsor,Full blockfront on east side of First Avenue between East 70th and 71st Streets,1979,23,,"83/72",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,"Schuman, Lichtenstein, Claman","Schuman, Lichtenstein, Claman",Plaza 7297.86 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.766735,-73.956246 ,0996370,0218622
M080030,Manhattan,1,08,1385,YORK AVENUE,10021,"1385 YORK AVENUE, New York, NY 10021",01468,0021,Stratford,Full blockfront on west side of York Avenue between East 73rd and 74th Streets,1969,36,,"81/67",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Max Siegel Associates,Max Siegel Associates,Plaza 12034.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.768013,-73.953411 ,0997155,0219088
M080031,Manhattan,1,08,1365,YORK AVENUE,10021,"1365 YORK AVENUE, New York, NY 10021",01467,0021,Somerset,Full blockfront on west side of York Avenue between East 72nd and 73rd Streets,1977,36,,"61/69",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Peter Kalikow,Philip Birnbaum,Philip Birnbaum,Plaza 11606.97 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.767374,-73.953867 ,0997029,0218855
M080032,Manhattan,1,08,985,FIFTH AVENUE,10075,"985 FIFTH AVENUE, New York, NY 10075",01491,0004,,East side of Fifth Avenue between East 79th and 80th Streets,1969,25,,"50/67",Completed,"Co-op/Condo; Residential",,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Bernard Spitzer,Wechsler & Schimenti,Wechsler & Schimenti,Arcade 1443.55 sf; Plaza 1386.18 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.777261,-73.963150 ,0994456,0222456
M080033,Manhattan,1,08,900,PARK AVENUE,10075,"900 PARK AVENUE, New York, NY 10075",01491,7501,Park 900,Northwest corner of Park Avenue and East 79th Street,1973,28,,"69/69",Completed,"Co-op/Condo; Residential",,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Philip Birnbaum,Philip Birnbaum,Plaza 5076.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.776088,-73.960695 ,0995136,0222029
